Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
CMPM 171	Game Design STU	Adam Marshall Smith; Graeme Devine	2024 Winter Quarter	2240	N	18	32	9	2	6	1	6	2					1								77
CMPM 176	Game Systems	Jared Nassar Pettitt	2024 Winter Quarter	2240	N	5	31	22	12	10	5	3	2	1					1							92
CMPM 177	Creative Strategies	Katherine C Isbister	2024 Winter Quarter	2240	N	45	55	7	3	4	3							1	1							119
CMPM 297F	Ind Stu or Research	Michael B John	2024 Winter Quarter	2240	N		6														4					10
COWL 1	ALE:ImaginingJustice	Laurel Peacock	2024 Winter Quarter	2240	N		8	5	2	3		1				4		2	1					3		29
COWL 1	ALE:ImaginingJustice	Johnny L. Allen	2024 Winter Quarter	2240	N	1	6	8	4	2	1	1	2			1		2	1							29
COWL 12	Public Speaking	Catherine Marie Carlstroem	2024 Winter Quarter	2240	N		2	5	5										4							16
COWL 111	Mock Trial Workshop	Caitlin Marie Stinneford	2024 Winter Quarter	2240	N	8	33	8			1	1							7							58
COWL 122	UN-Contemporary Issues	Caitlin Marie Stinneford	2024 Winter Quarter	2240	N	9	24	4	3	2		1								1						44
COWL 140	Designing Your Life	Remy Franklin	2024 Winter Quarter	2240	N		30	1	1	1	1									1						35
COWL 158A	Oral History	Cameron Mark Vanderscoff	2024 Winter Quarter	2240	N		8	6	1	5																20
COWL 168	Social Change	Caitlin Marie Stinneford	2024 Winter Quarter	2240	N	7	60	6	7	7		5	1						4							97
COWL 168	Social Change	Caitlin Marie Stinneford	2024 Winter Quarter	2240	N	5	57	14	6	6	4		1					1	6	1						101
COWL 184B	Leadership & Instit	Caitlin Marie Stinneford	2024 Winter Quarter	2240	N	11	34	4		1		1							1	1				1		54
CRES 70S	Intro to the Sikhs	Naindeep Chann	2024 Winter Quarter	2240	N	23	97	7	5	2								3	6	1						144
CRES 70S	Intro to the Sikhs	Naindeep Chann	2024 Winter Quarter	2240	N	4	23	3	1									2	1	1						35
CRES 100	Comparative Theories	Jennifer Lynn Kelly	2024 Winter Quarter	2240	N	20	23	5		1		1	1						2					1		54
CRES 115	Frantz Fanon	Sophia Azeb	2024 Winter Quarter	2240	N	11	14	6	8										1							40
CRES 121	K-12 Ethnic Studies	Tricia Gallagher-Geurtsen	2024 Winter Quarter	2240	Y	3	27	13	2	3	3	1	1	2					2	1						58
CRES 151	After the Human	micha cardenas	2024 Winter Quarter	2240	N	3	10	4	3	2			1					1						1		25
CRES 160	Latina/o/x Geographies	Luis Trujillo	2024 Winter Quarter	2240	N	1	1		1	1		1		1		1	1	4	2	1						15
CRES 190Y	Solidarity	Jennifer Lynn Kelly	2024 Winter Quarter	2240	N	2	1	1	4	1	1			1												11
CRSN 20G	PeregrFalconsReturn	Glenn Roy Stewart	2024 Winter Quarter	2240	N	40	16	1	4	3			1						6							71
CRSN 55	Service Learning	Susan Allen Watrous	2024 Winter Quarter	2240	N		13	3	1	1									3					1		22
CRSN 151A	Sustain Praxis	Kristen Kusic Heady	2024 Winter Quarter	2240	N		18			2	1		1					2	1							25
CRSN 152	IDEASS Lab	Tamara Bethune Ball	2024 Winter Quarter	2240	N		4	6			1								5							16
CRWN 1	ALE:Emerging Tech	Amrit Kaur	2024 Winter Quarter	2240	N	10	8	7	2				3													30
CRWN 70	Intro to Radio	Shavit Melamed	2024 Winter Quarter	2240	N	3	7	3	2	1		1														17
CRWN 70L	Radio Production	Manel Camps	2024 Winter Quarter	2240	N	8	9																			17
CRWN 81	Purposeful Life	Lisa Berkley	2024 Winter Quarter	2240	N	15	33	17	13	6	5	2	6					1	4							102
CRWN 86	Story in Digital Age	Kathleen J Greaney	2024 Winter Quarter	2240	N	3	4	1	3		3	1				1		5								21
CRWN 90	EntrepreneurshipAcad	Kathleen J Greaney	2024 Winter Quarter	2240	N	2	8	2	4	2	2	1						1	4					1		27
CRWN 95	Business Assistance	Yuliya Monastyrska	2024 Winter Quarter	2240	N	13	12			1	1							1								28
CRWN 96	Digital Theater WS	Francis Carolina Gonzalez Riano	2024 Winter Quarter	2240	N	13	3												1							17
CSE 3	Comp Tech in Society	Gerald Bennett Moulds	2024 Winter Quarter	2240	N	1	128		7	21		1	8			4		8	12	2	1	1		1		195
CSE 12	Com Sys/Assmbly Lan	Heiner Litz	2024 Winter Quarter	2240	N	104	31	34	18	8	11	3	5	2		3	2	5		3	1			2		232
CSE 12	Com Sys/Assmbly Lan	Marcelo Siero	2024 Winter Quarter	2240	N	63	76	14	6	25	6	1	15		1			8	1	3						219
CSE 13S	Comp Sys and C Prog	Kerry Scott Veenstra	2024 Winter Quarter	2240	N	4	25	20	19	38	25	14	20		3	7	1	14	1	19				8		218
