Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
EART 3	Geology Natl Parks	Susan Y. Schwartz	2021 Summer Quarter	2214	N	1	3	5	3		7	3	4						3	1				1		31
EART 189B	Summer Field Study	Jeremy Keith Hourigan	2021 Summer Quarter	2214	N		3	2	4	2	1															12
ECE 9	Statics & Materials	Maxwell James Dunne	2021 Summer Quarter	2214	N	5	7	6	6	4	1	3	2							2						36
ECE 101	Intro Elec Circuits	Austin Chen	2021 Summer Quarter	2214	N		5	3	2	6	8	9	12	5		3								4		57
ECE 101L	Intr Elec Circ Lab	Austin Chen	2021 Summer Quarter	2214	N		35	5	6	5		2	1			1		1						4		60
ECE 151	Communicats Systms	Hamid R Sadjadpour	2021 Summer Quarter	2214	N			3	1	7	1	3	1			3		1						2		22
ECE 171	Analog Electronics	Stephen C Petersen	2021 Summer Quarter	2214	N		1		2	6	3	3	6	1	1		1	5		1	1			3		34
ECE 171L	Analog Electron Lab	Stephen C Petersen	2021 Summer Quarter	2214	N		1	1	3	6	2	1	5	1		2		5	1	2				3		33
ECON 1	Intro Microeconomic	Ian H Allen	2021 Summer Quarter	2214	N		4	9	2	17	7		3	3	1				3	1				1		51
ECON 1	Intro Microeconomic	Julie H Gonzalez	2021 Summer Quarter	2214	N	1	3	4	4	4	5	5	4	2		2		2	3	2				1		42
ECON 2	Intro Macroeconomic	Julie H Gonzalez	2021 Summer Quarter	2214	N	1	5	2	4	4	3	5	3	1				1	1							30
ECON 2	Intro Macroeconomic	Weicheng Lyu	2021 Summer Quarter	2214	N		3	5	4	4	3	3	5	1	2	1	1	4		1				2		39
ECON 10A	Econ of Accounting	Kevin K Jones	2021 Summer Quarter	2214	N		12	3	6	5	4	7	7		1	3		3						1		52
ECON 10B	Econ of Accounting	Kevin K Jones	2021 Summer Quarter	2214	N		7	1	8	4	2		5	1		3		1	1	2				1		36
ECON 100A	Intermed Microecon	Rongchen Liu	2021 Summer Quarter	2214	N	3	7	3	1	2	3	3	3			2			3					1		31
ECON 100A	Intermed Microecon	Kristian M Lopezvargas	2021 Summer Quarter	2214	N	1	3	12	5	4	7	10							2	1				2		47
ECON 100B	Intermed Macroecon	Teng Liu	2021 Summer Quarter	2214	N	18	17	7	7	6	2	1	3	1		2	2	2	8	4				2		82
ECON 101	Managerial Econ	Jia-Yuh Chen	2021 Summer Quarter	2214	N	14	7	6	5	9	3	3	1				1	1	2							52
ECON 104	Numbr Truth: Statis	Gregory M Klevans	2021 Summer Quarter	2214	N	6	2	3				1	1		1	1		1	4	2						22
ECON 113	Intro Econometrics	Harrison Aaron Shieh	2021 Summer Quarter	2214	N	13	12	11	7	10	5	7	7		2			1	4							79
ECON 113	Intro Econometrics	Prateek Arora	2021 Summer Quarter	2214	N	12	7	12	6	9	4	6	3	1	4			9	7	4				1		85
ECON 125	Econ History Of US	Aaron Gregory Meininger	2021 Summer Quarter	2214	N		1	4	6	11	1		4						1					2		30
ECON 133	Security Markets	Kai Pommerenke	2021 Summer Quarter	2214	N	4	4	5	5	3	3	4	1	4		1		4	1	2						41
ECON 136	Business Strategy	Gerald M McIntyre	2021 Summer Quarter	2214	N	1	8	6	1	4								2	3							25
ECON 140	International Trade	Dongwan Choo	2021 Summer Quarter	2214	N	3	7	2	1	3	3	5	5			1			5					3		38
ECON 161A	Marketing	Stephen Arthur Owen	2021 Summer Quarter	2214	N		29	23	14	16	4	2						1	7							96
ECON 197	Economic Rhetoric	Subhra Saha	2021 Summer Quarter	2214	N		10	2	4	2	3	2	1						8							32
ECON 197	Economic Rhetoric	Subhra Saha	2021 Summer Quarter	2214	N	1	9	6	6	2	1		1	1		1		1	6					1		36
EDUC 10	Intro to Learning	Adria Patthoff	2021 Summer Quarter	2214	N		24	5	3	3	2			1				2	1					1		42
EDUC 128	Immigrants And Educ	Lucia Alvarado Cantero	2021 Summer Quarter	2214	N	16	6		1	1								3	3	1						31
EDUC 135	Gender & Education	Melissa Marini Švigelj	2021 Summer Quarter	2214	N	6	20	6	2	3	2							3	3							45
EDUC 141	Bilingual & School	Benjamin Mathews James	2021 Summer Quarter	2214	N	6	11	3		1	1								1					1		24
EDUC 164	Urban Education	Kim Vachon	2021 Summer Quarter	2214	N	4	9	1	1				1					1	3	1						21
EDUC 181	Race, Class, Cultur	Andrea del Carmen Vazquez	2021 Summer Quarter	2214	N	3	10	8	2		2		1			1		1	1					2		31
EDUC 205	Teaching,Learning	Johnnie Brooks Wilson	2021 Summer Quarter	2214	N		3														36					39
EDUC 207	Soc Fndtn Education	Charley Brooks	2021 Summer Quarter	2214	N	3	2														52					57
EDUC 208	Portfolio Developmt	Jamie Dewitt	2021 Summer Quarter	2214	N		7	2		2											51					62
EDUC 210	Health/Safety/Commun	Jamie Dewitt	2021 Summer Quarter	2214	N		4														53					57
EDUC 213	Child & Adol Dev	Soleste Hilberg	2021 Summer Quarter	2214	N		4														53					57
EDUC 217	Topics Elem Ed PE	Caitlin Mary Johnston	2021 Summer Quarter	2214	N		5			1											19					25
EDUC 218	Elem Ed Vis Arts	Susan Trimingham	2021 Summer Quarter	2214	N	6															19					25
EDUC 219	Elem Ed Prfrm Arts	Caitlin Mary Johnston	2021 Summer Quarter	2214	N		6														19					25
EDUC 225	Reading Across Curr	Heather Elaine Schlaman	2021 Summer Quarter	2214	N		6														30	1				37
ENVS 18	NatHist Illustration	Jennifer Teresa Harrower	2021 Summer Quarter	2214	N	5	8		1		2								2							18
ENVS 18	NatHist Illustration	Jennifer Teresa Harrower	2021 Summer Quarter	2214	N	5	4	2	1	1									3							16
ENVS 25	Enviro Policy/Econ	Sikina Jinnah	2021 Summer Quarter	2214	N	2	15	4	5	14	6	2	7		1	2		3	1					1		63
ENVS 125	Ecosystems of Calif	Erika S Zavaleta	2021 Summer Quarter	2214	Y	1	6	5	3	1	1		1					1	1					2		22
ENVS 136	Organizng Wtr Jst CA	Vivian Ruth Underhill	2021 Summer Quarter	2214	Y		6	1			1							1	1							10
ENVS 143	Sustain Development	Adam Kerry French	2021 Summer Quarter	2214	N		8	1	1	1																11
ENVS 190	Capstone:EnvrProblem	Katie Lenore Monsen	2021 Summer Quarter	2214	N	3	7	4	3		3		1					2	1							24
FILM 20A	Intro Film Studies	Alessia Cecchet	2021 Summer Quarter	2214	N	6	21	16	12	9	3	1	1					2	4	2				4		81
FILM 20P	Productn Technique	Yulia Gilichinskaya	2021 Summer Quarter	2214	N	12	8		1	1	2		1					1								26
FILM 80V	Video Games/Culture	Soraya E.A. Murray	2021 Summer Quarter	2214	N	3	42	29	6	6	3	1		1	1			1	5	1				2		101
FILM 120	Intro Media Theory	James C Lyons	2021 Summer Quarter	2214	N		13	2		1			1			1										18
FILM 132B	Internatnl Cinema	Raed El Rafei	2021 Summer Quarter	2214	N	6	8	8	1	4	5	2		1				2	2							39
FILM 136A	Exper Film & Video	Elia C Vargas	2021 Summer Quarter	2214	N		10	8	3	6	5	3	1			3			2							41
FILM 136C	Visual Culture&Tech	Edward A. Shanken	2021 Summer Quarter	2214	N	1	4	1	2	4		2	2						2					1		19
FILM 145	SocMedia DocTheoryProd	Daryl Bjorn Jones; Quentin Alcott Lareau	2021 Summer Quarter	2214	N		2	6	1	5	1		2					2								19
FILM 150	Screenwriting	Natasha V.	2021 Summer Quarter	2214	N		2	7	1	3	1								2							16
FILM 151	Film Directing	Laimir Fano Villaescusa	2021 Summer Quarter	2214	N		13	1		1								1	1							17
FILM 170A	Digital Media Prod	Chris Kerich	2021 Summer Quarter	2214	N	16	7	4	5	3			1					2		1						39
FILM 171C	Found Footage	Irene E. Lusztig	2021 Summer Quarter	2214	N		4	4	5	1				2				1								17
