Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
CRSN 10	Academic Success	Lindsay Elizabeth Knisely	2022 Spring Quarter	2222	N			4	4	1	2	4	2					5								22
CRSN 15	STEM Jump Start	Stella Hein	2022 Spring Quarter	2222	N		15			2			1			1		1		1						21
CRSN 55	Service Learning	Susan Allen Watrous	2022 Spring Quarter	2222	N	1	20	1																		22
CRSN 61	Sustainable Living	Sue A Carter	2022 Spring Quarter	2222	Y	3	23	1	2									1	6							36
CRSN 82	Enviro&Soc in Film	Neil Schaefer	2022 Spring Quarter	2222	N	1	5	9	6	4	1	1							1	1				1		30
CRSN 90	Food Justice/Sustain	Katie Lenore Monsen	2022 Spring Quarter	2222	N	5	6																	1		12
CRSN 122	UN-Contemporary Issues	Caitlin Marie Stinneford	2022 Spring Quarter	2222	Y	2	5	4	2	1	2	1						1	4	4						26
CRSN 151B	Sust Innovation	Andrea Carafa	2022 Spring Quarter	2222	N		1	12	1																	14
CRSN 151C	Sust Lab Tools	Tela Favaloro	2022 Spring Quarter	2222	N		8	3		1																12
CRSN 152	IDEASS Lab	Tamara Bethune Ball	2022 Spring Quarter	2222	N		5	3											2							10
CRSN 152	IDEASS Lab	Kristen Kusic Heady	2022 Spring Quarter	2222	N		11												1					1		13
CRSN 161	Sustainable Living	Sue A Carter	2022 Spring Quarter	2222	Y	2	11					1							1							15
CRWN 70	Intro to Radio	Shay Leigh Stoklos	2022 Spring Quarter	2222	N	1	5	5	1			1		1												14
CRWN 70L	Radio Production	Shay Leigh Stoklos	2022 Spring Quarter	2222	N	3	3	1	3	2	1	1														14
CRWN 80F	Science Fiction	Dion N Farquhar	2022 Spring Quarter	2222	N	7	7	2		5									4					1		26
CRWN 91	Marketing for Good	Richard Vargas	2022 Spring Quarter	2222	N	4	16			3		2							2							27
CRWN 95	Business Assistance	Nikky Cherukuthota	2022 Spring Quarter	2222	N	5	4	3	1		3	2						1	5	1						25
CRWN 185	Career&Internship	Caitlin Marie Stinneford	2022 Spring Quarter	2222	N	11	80	4		1	1	1	3					3	6	1				2		113
CSE 3	Personal Computers	Gerald Bennett Moulds	2022 Spring Quarter	2222	N		301		7	26		4	5			3		5	18	5		1		1		376
CSE 12	Com Sys/Assmbly Lan	Sagnik Nath	2022 Spring Quarter	2222	N	69	160	51	38	65	13	8	15			8	1	18	2	7				6		461
CSE 13S	Comp Sys and C Prog	Alexander J Rudnick	2022 Spring Quarter	2222	N	22	71	29	34	26	15	16	17		2	6	8	5		6				3		260
CSE 16	Appl Discrete Math	Alvaro A Cardenas	2022 Spring Quarter	2222	N	39	79	62	29	47	16	4	19						1	1						297
CSE 20	Beginning Python	Tracy Larrabee	2022 Spring Quarter	2222	N		37	15	29	70	10	11	10	4	6	3	4	1	18	13	2			9		242
CSE 20	Beginning Python	Larissa A Munishkina	2022 Spring Quarter	2222	N	8	30	12	13	25	11	5	27		6	28		18	17	17	3	1		6		227
CSE 30	Prog Abs Python	Alexander J Rudnick	2022 Spring Quarter	2222	N	44	67	24	15	38	16	8	14		6	4	5	17	9	13	1			7		288
CSE 30	Prog Abs Python	Larissa A Munishkina	2022 Spring Quarter	2222	N	10	15	3	6	21	7	7	20		4	16		10	4	10				6		139
CSE 80N	Intro to Networking	Christina Leigh Parsa	2022 Spring Quarter	2222	N	6	35		8	16			10			5			19	4				3		106
CSE 100	Logic Design	Scott Beamer	2022 Spring Quarter	2222	N	2	18	13	6	11	5	3	4	4		2		6		8				2		84
CSE 100L	Logic Design Lab	Scott Beamer	2022 Spring Quarter	2222	N	2	18	13	6	11	5	3	3	4		3		7	1	6				2		84
CSE 101	Data Structs & Algs	Patrick Tantalo	2022 Spring Quarter	2222	N	11	56	26	14	31	13	5	25	2	2	1	2	15		9				12		224
CSE 101	Data Structs & Algs	Patrick Tantalo	2022 Spring Quarter	2222	N	8	28	15	13	24	9	5	29	1	1	2		7		10				14		166
CSE 102	Intro Algorthm Anyl	Suresh K Lodha	2022 Spring Quarter	2222	N	9	11	13	8	14	13	24	6					2	1					8		109
CSE 103	Computational Models	Delbert Dean Bailey	2022 Spring Quarter	2222	N		12			55			38			6			1	2				3		117
CSE 107	Probability/Stats	John T Musacchio	2022 Spring Quarter	2222	N	2	23	13	24	31	17	17	21	6	4	7	6	16	2	9				9		207
CSE 110A	Fund Compiler Des 1	Tyler Sorensen	2022 Spring Quarter	2222	N	10	8	12	7	9	3	3	7					1	2	1				3		66
CSE 111	Adv Programming	David Charles Harrison; Wesley F Mackey	2022 Spring Quarter	2222	N		15	18	29	17	16	13	8	5		2		16	3	8	1			11		162
CSE 114A	Found of Program Lang	Lindsey Kuper	2022 Spring Quarter	2222	N	20	32	22	25	38	33	17	34			22		8	1	1						253
CSE 115A	Intro Software Eng	Richard K Jullig	2022 Spring Quarter	2222	N	13	77	6	6	6	1								2							111
CSE 115C	Software Design II	Richard K Jullig	2022 Spring Quarter	2222	N	21	24	1	1	1								1								49
CSE 120	Computer Architect	Sagnik Nath	2022 Spring Quarter	2222	N	16	46	7	16	49	21	5	10	3	2	3		1		1						180
CSE 120	Computer Architect	Jose Renau Ardevol	2022 Spring Quarter	2222	N	9	36	16	12	16	4		1					10	3	3				3		113
CSE 121	Embedded System Design	David Charles Harrison	2022 Spring Quarter	2222	N		12	16	16	8	5	2	4					3	2	1				2		71
CSE 123B	Engr Design Proj II	David Charles Harrison	2022 Spring Quarter	2222	N	7		21	14	22																64
CSE 125	Log Desgn W/Verilog	Heiner Litz	2022 Spring Quarter	2222	Y	5	12	7	3	2	1	1														31
CSE 130	Prin Comp Sys Dsgn	Andrew Quinn; Christina Leigh Parsa	2022 Spring Quarter	2222	N	9	37	14	30	37	15	17	27		7	3	4	13		28				9		250
CSE 140	Artif Intelligence	Leilani Hendrina Gilpin	2022 Spring Quarter	2222	N	5	57	15	2	1			1					1	3					2		87
CSE 142	Machine Learning	Xin Wang	2022 Spring Quarter	2222	N	3	8	8	6	7	5	6	3		1	1	2	1	5	2	1			9		68
CSE 143	Natural Lang Process	Jeffrey Michael Flanigan	2022 Spring Quarter	2222	N	20	60	18	2	2	1		2						5	1				1		112
CSE 144	Applied ML	Yuyin Zhou	2022 Spring Quarter	2222	N	16	34	3	6	3	9	1	4			2			2					4		84
CSE 150	Intro Comp Networks	Christina Leigh Parsa	2022 Spring Quarter	2222	N	3	27	7	14	16	5	7	16			8		6	2	4				1		116
CSE 151	Adv Computer Net	Richard Michael Jude Graziani	2022 Spring Quarter	2222	N	26	28	2		2									1							59
CSE 151L	Adv Computer Net Lab	Richard Michael Jude Graziani	2022 Spring Quarter	2222	N	26	28	2		2									1							59
CSE 161	Intro Data Visual	Alex Pang	2022 Spring Quarter	2222	N	2	3	1	2	1				1						1						11
CSE 161L	Data Visual Lab	Alex Pang	2022 Spring Quarter	2222	N	2	3	1	2	1				1						1						11
CSE 164	Computer Vision	Cihang Xie	2022 Spring Quarter	2222	N	3	17	2	1	1	1								2	1	1					29
CSE 181	Database Systems II	Sheldon Finkelstein	2022 Spring Quarter	2222	N			1	1	1	4	1	1						3					3		15
CSE 182	Intro Database Mgmt	Sheldon Finkelstein	2022 Spring Quarter	2222	N	2	6	6	8	18	21	13	17	2	6	3		7		4	2			3		118
CSE 183	Web Applications	Luca De Alfaro	2022 Spring Quarter	2222	N	21	13	8	11	7	10		5			1			5	1				1		83
CSE 185E	Tech Writ Comp Engs	Gerald Bennett Moulds	2022 Spring Quarter	2222	Y		17	13	8	4		2	2							1						47
CSE 185S	Tech Writ Comp Engs	Gerald Bennett Moulds	2022 Spring Quarter	2222	Y		42	27	9	8	1	1	2					1	1	2						94
CSE 204	Computatnl Models	Seshadhri Comandur	2022 Spring Quarter	2222	N	5	6	2													2					15
CSE 210B	Advanced Prog Langs	Owen Arden	2022 Spring Quarter	2222	N	3	1	2	1		2										2					11
CSE 216	Formal Methods	Daniel Fremont	2022 Spring Quarter	2222	N		1	3	7	5	1							2	1		5					25
CSE 232	Distributed Systems	Peter Alexander Alvaro	2022 Spring Quarter	2222	N	3	7	1																		11
CSE 248	FoundationsDataSci	Yang Liu	2022 Spring Quarter	2222	N	8	30	4	1												7					50
CSE 264	Computer Vision	Roberto Manduchi	2022 Spring Quarter	2222	N	3	4	6	4	2	1										7	3				30
CSE 272	Information Retrieval	Yi Zhang	2022 Spring Quarter	2222	N	2	6	2	2	1	3										1	2				19
CSP 281B	Fisheries Ecology	Eric P. Palkovacs	2022 Spring Quarter	2222	N		5		1	1									1		5					13
EART 2	Earth Catastrophes	Thorne Lay	2022 Spring Quarter	2222	N	12	10	15	20	36	26	19	13	11		2		11	37	6				5		223
EART 20	Environmental Geolo	Slawomir M Tulaczyk	2022 Spring Quarter	2222	N	2	9	9	9	23	11	6	16	2	1	4	1	4	7	3				4		111
EART 20L	Envirnmtl Geolgy Lb	Slawomir M Tulaczyk	2022 Spring Quarter	2222	N	3	11	6	2	3	1	2		1			1									30
EART 20L	Envirnmtl Geolgy Lb	Slawomir M Tulaczyk	2022 Spring Quarter	2222	N	6	9	3	2	3	5	1						1								30
EART 20L	Envirnmtl Geolgy Lb	Slawomir M Tulaczyk	2022 Spring Quarter	2222	N	2	5	5		3	2	3	2						1							23
EART 30	Water in Environment	Peter Scott Weiss	2022 Spring Quarter	2222	N	34	122	77	51	30	20	9	8			1		9	21	6				5		393
EART 109	Field Geology	Hilde L Schwartz	2022 Spring Quarter	2222	N		1	2	3	2	4		5					1						1		19
EART 109L	Field Geology Lab	Hilde L Schwartz	2022 Spring Quarter	2222	N		2		2	4	1	1														10
EART 110C	The Dynamic Earth	Emily Elizabeth Brodsky	2022 Spring Quarter	2222	N		5	7	4	3	5	8	6		2	5	1	5	1	3	1			1		57
EART 110N	Dynamic Earth Lab	Emily Elizabeth Brodsky	2022 Spring Quarter	2222	N		8	10	2	1	3	1					1	1						2		29
EART 110N	Dynamic Earth Lab	Emily Elizabeth Brodsky	2022 Spring Quarter	2222	N		9	5	5	2	2	1					1	3		1						29
EART 118	Seismotectonics	Thorne Lay	2022 Spring Quarter	2222	N	2	6	6	3	1	1		2							2				1		24
EART 120	Sedimntlgy&Strtgrph	Matthew E Clapham	2022 Spring Quarter	2222	N	2	4		2		1	1						4	1	1						16
EART 124	Model Earth Climate	Nicole A Feldl	2022 Spring Quarter	2222	N	2	5	2	1	2	2	1									1					16
EART 128	IsotopesEart/MarSci	James C Zachos	2022 Spring Quarter	2222	N		2		2		2	1	2			1		2	1		2					15
EART 142	Engineering Geology	Slawomir M Tulaczyk	2022 Spring Quarter	2222	N	1	5	2	2	3	3	1	5						1							23
EART 146	Groundwater	Andrew T Fisher	2022 Spring Quarter	2222	N	1	2	5	3	5	1	4							2		2			2		27
EART 164	Planetary Atmospheres	Xi Zhang	2022 Spring Quarter	2222	Y	2		1	2	1	3	1	1													11
EART 189A	GIS-Earth Sciences	Noah J Finnegan	2022 Spring Quarter	2222	N		10	4	2	3								1								20
EART 191A	Climate Chg Sci/Pol	Gary B Griggs	2022 Spring Quarter	2222	N	7	8			3								1								19
ECE 10	Kinematics&Dynamics	Steve McGuire	2022 Spring Quarter	2222	N		26	6	1	7	1		1			2				1						45
ECE 13	Computer Systems & C	Satarupa Mukherjee	2022 Spring Quarter	2222	N	5	19	27	13	6	7	2	4	1		6		1	3	5				8		107
ECE 30	Engr Prin of Elec	Michael M Oye	2022 Spring Quarter	2222	N	1	6	5	6	8	9	5	12			3		4	6	2				1		68
ECE 80B	Medical Innovations	Shiva Abbaszadeh	2022 Spring Quarter	2222	N	12	5	1		1									4		1			1		25
ECE 103	Signals & Systems	Zouheir Rezki	2022 Spring Quarter	2222	N	3	19	12	28	29	18	7	11	3	3	2		8		2				3		148
ECE 103L	Signals Systems Lab	Zouheir Rezki	2022 Spring Quarter	2222	N		72	27	7	9	8	3	5	4			1	3		2				3		144
ECE 104	Bioelectronics	Marco A Rolandi	2022 Spring Quarter	2222	Y	4	10	5	1		3							2		2						27
ECE 118	Intro Mechatronics	Aviv Elor; Pavlo George Vlastos	2022 Spring Quarter	2222	N	1	5	9	9	13	6	1									1					45
ECE 129C	Capstone Project III	Tela Favaloro	2022 Spring Quarter	2222	N	1	8	3	4	5	4	3	1					1								30
ECE 129C	Capstone Project III	Stephen C Petersen	2022 Spring Quarter	2222	N		4	5	7	7	3	4	1													31
ECE 135	Elecromag Flds&Wavs	Ahmet Yanik	2022 Spring Quarter	2222	N	49	1		1		2							1								54
ECE 135L	Electromag Lab	Ahmet Yanik	2022 Spring Quarter	2222	N	30	11	2	1	2		1	1	1			6									55
ECE 167	Sensing & Sensor Tech	Colleen Josephson	2022 Spring Quarter	2222	N	2	17		9	2	1	1	1											2		35
ECE 173	Hi-Spd Digtl Design	Stephen C Petersen	2022 Spring Quarter	2222	N		2	1	2	2	2	2	1			2		4		1						19
ECE 178	Device Electronics	Nobuhiko P Kobayashi	2022 Spring Quarter	2222	Y	5		1		1	1		1							1						10
ECE 180J	Adv Renewable Energy	Yu Zhang	2022 Spring Quarter	2222	N	6	3	6	10	10	8		4			2		2	7					1		59
ECE 216	Bio-Inspired Locomotion	Mircea S.V. Teodorescu	2022 Spring Quarter	2222	N	6	2														3			1		12
ECE 224	Device Electronics	Nobuhiko P Kobayashi	2022 Spring Quarter	2222	Y	1	1			2		1									7					12
ECE 237	Image Process/Recon	Sara Abrahamsson	2022 Spring Quarter	2222	N	10															6					16
ECE 249	Intro Cyber-Phy Sys	Ricardo Gabriel Sanfelice	2022 Spring Quarter	2222	Y	3	4		1	2	1										3					14
ECE 250	Digital Signal Proc	Farid U Dowla	2022 Spring Quarter	2222	Y	3	1	3		1											6					14
ECON 1	Intro Microeconomic	Kwok-Chiu Fung	2022 Spring Quarter	2222	N	25	22	25	41	26	11	29	3	6				3	22	1	1			3		218
ECON 1	Intro Microeconomic	Subhra Saha	2022 Spring Quarter	2222	N		2	11	10	8	5	6	6	5		1	1	4	3					2		64
ECON 2	Intro Macroeconomic	Julie H Gonzalez	2022 Spring Quarter	2222	N	1	16	17	16	15	17	21	33	1		12		9	16	5	1			8		188
ECON 2	Intro Macroeconomic	Subhra Saha	2022 Spring Quarter	2222	N		5	18	17	25	18	10	13	4		3	5		1							119
ECON 10B	Econ of Accounting	Kevin K Jones	2022 Spring Quarter	2222	N		4	4	12	39	11	8	27	1	2	8		3	6	4				4		133
ECON 11A	Math Methd for Econ	Jonathan Rice Katznelson	2022 Spring Quarter	2222	Y		2	3	1		2	1	1													10
ECON 100A	Intermed Microecon	Gerelt Tserenjigmid	2022 Spring Quarter	2222	N	2	15	7	9	28	9	7	14		5	3		5	1	2				3		110
ECON 100A	Intermed Microecon	Kristian M Lopezvargas	2022 Spring Quarter	2222	N	1	12	17	17	10	20	29	8						8	1				2		125
ECON 100B	Intermed Macroecon	Kenneth M Kletzer	2022 Spring Quarter	2222	N	6	19	12	9	16	11	7	12	1				3	6	6						108
ECON 100B	Intermed Macroecon	Alonso A Villacorta	2022 Spring Quarter	2222	N	10	24	13	12	17	12	7	18	1		2		4	3					1		124
ECON 104	Numbr Truth: Statis	Carlos Eduardo Dobkin	2022 Spring Quarter	2222	N	8	8	11	11	8	7	6	3					4	7	2				2		77
ECON 110	Managerl Cost Acct	Maria Bullen	2022 Spring Quarter	2222	N	22	42	11	9	5	9	2	1			1			2					1		105
ECON 111C	Intermed Account III	Scott Anderson	2022 Spring Quarter	2222	N	3	7	4	3	6	7	3	3						4							40
ECON 113	Intro Econometrics	Ariel Zucker	2022 Spring Quarter	2222	N	4	15	7	23	18	9	10	3	1	1			3	3	1				1		99
ECON 113	Intro Econometrics	Brenda Samaniego de la Parra	2022 Spring Quarter	2222	N	1	4	1	3	6	7	8	5			5		4	7	5				3		59
ECON 115	Intr Management Sci	Robert Brian Baden	2022 Spring Quarter	2222	N	3	10	3	6	5	6		1					1	7					1		43
ECON 116	AdvTopicsAcctgEthic	Kevin K Jones	2022 Spring Quarter	2222	N		2	5	2	10	1	1	2						4							27
ECON 124	Machine Learning  Econ	Michael Leung	2022 Spring Quarter	2222	N	3	4	3	4									1			1					16
ECON 125	Econ History Of US	Aaron Gregory Meininger	2022 Spring Quarter	2222	N		8	10	6	10	2	2	1	1		2		4	2							48
ECON 131	Internatnl Markets	Chenyue Hu	2022 Spring Quarter	2222	N	3	7	13	8	8	2	2				2			13	2						60
ECON 133	Security Markets	Kai Pommerenke	2022 Spring Quarter	2222	N	6	9	15	18	18	9	12	12	2				5	10	3						119
ECON 135	Corporate Finance	Nirvikar Singh	2022 Spring Quarter	2222	N	2	24	4	12	9	5	1	1						4					2		64
ECON 136	Business Strategy	Robert Brian Baden	2022 Spring Quarter	2222	N	3	5	7	12	13	5	8	5					1	4							63
ECON 139B	E-Commerce Strategy	Stephen Arthur Owen	2022 Spring Quarter	2222	N		12	14	1	7	1	1							2							38
ECON 140	International Trade	Gueyon Kim	2022 Spring Quarter	2222	N	4	8	4	5	12	6	5	3			3		1	9	3						63
ECON 149	East&Southeast Asia	Kwok-Chiu Fung	2022 Spring Quarter	2222	N	44	40	8	21	5	1							1	7					2		129
ECON 150	Public Finance	Justin Marion	2022 Spring Quarter	2222	N	1	2		2	1			3					1	2					2		14
ECON 161A	Marketing	Stephen Arthur Owen	2022 Spring Quarter	2222	N		9	24	27	24	5	2	2			1			6							100
ECON 194B	Adv Bsns Prof Devlp	Kevin K Jones	2022 Spring Quarter	2222	N		36	2	6	4			2						1	1				1		53
ECON 197	Economic Rhetoric	Aaron Gregory Meininger	2022 Spring Quarter	2222	N	3	9	6	6	2	4	2	2						1							35
ECON 197	Economic Rhetoric	Aaron Gregory Meininger	2022 Spring Quarter	2222	N		5	5	3	1	4	5	3					1	5							32
ECON 201	Applic In Microecon	Justin Marion	2022 Spring Quarter	2222	N	1	5		4	2											1					13
ECON 231	Intl Fin Mgmt	Chenyue Hu	2022 Spring Quarter	2222	N	3	4	5	3	1											2					18
ECON 235	Corporate Finance	Nirvikar Singh	2022 Spring Quarter	2222	N	2	13	2													2					19
ECON 236	Finance Engineering	Kai Pommerenke	2022 Spring Quarter	2222	N		1	4	3	2	5										1					16
ECON 294A	Applied EconFin Lab	Anirban Sanyal	2022 Spring Quarter	2222	N	1	2		1												6					10
EDUC 60	Schooling, Dem. & Jus.	Brittany Meghan Caldwell	2022 Spring Quarter	2222	N	68	53	15	9	10	5	3		1				5	5	7				2		183
EDUC 104	Ethical Issue Teach	Melissa Marini Švigelj	2022 Spring Quarter	2222	N	2	30	9	2	5	1	1							3							53
EDUC 110	Ed, Dem, and Movements	Amanda Lashaw	2022 Spring Quarter	2222	N		9	8	7	4			1	1					4							34
EDUC 140	Lang/Divrsty/Learn	Roberto Santiago de Roock	2022 Spring Quarter	2222	N	13	26	4	3	3	1	1	1	4					4					1		61
EDUC 160	Educ Reform Issues	Nolan Higdon	2022 Spring Quarter	2222	N	39	8	1	5	1	1		3	1					2							61
EDUC 173	Critical Pedagogy	Alisun Opal Thompson-Schrank	2022 Spring Quarter	2222	N		29	4	4	4								2	1					1		45
EDUC 185C	Intro Teach Science	Joyce Hill	2022 Spring Quarter	2222	N	12	23	5			1								2					1		44
EDUC 185L	Intro:Cal Teach 3	Molly Shaw	2022 Spring Quarter	2222	N	7	6			1	1		1													16
EDUC 190	Senior Sem Capstone	Amanda Lashaw	2022 Spring Quarter	2222	N		10	22	1									1	4							38
EDUC 202A	Adv Student Teach	Jamie Dewitt; Marissa Rhea Ferejohn	2022 Spring Quarter	2222	N	3	1														17					21
EDUC 202B	Adv Student Teach	Jamie Dewitt; Marissa Rhea Ferejohn	2022 Spring Quarter	2222	N	3	1														17					21
EDUC 202C	Adv Student Teach	Jamie Dewitt; Marissa Rhea Ferejohn	2022 Spring Quarter	2222	N	2	1														18					21
EDUC 212C	Biling&Biliteracy:C	Janet Rachel Johns	2022 Spring Quarter	2222	N		4														10					14
EDUC 214	Contemp Issues Educ	Kip T Tellez	2022 Spring Quarter	2222	N		5														47					52
