Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
WRIT 2	Rhetoric & Inquiry	Alberto Ganis	2023 Fall Quarter	2238	N	4	6	3	2	4	3		1					1	1							25
WRIT 2	Rhetoric & Inquiry	Amy Vidali	2023 Fall Quarter	2238	N		12	2	4	4					1			1	1							25
WRIT 2	Rhetoric & Inquiry	Katherine Marie Ross	2023 Fall Quarter	2238	N		12	3		4	3	1	1					1								25
WRIT 2	Rhetoric & Inquiry	Ellen Spencer Newberry	2023 Fall Quarter	2238	N		16	3	1	2		2							1							25
WRIT 2	Rhetoric & Inquiry	Ellen Spencer Newberry	2023 Fall Quarter	2238	N		12	5	3	3	2															25
WRIT 2	Rhetoric & Inquiry	Caitlin-Anne Dakota Flaws	2023 Fall Quarter	2238	N	1	11	4	1	4								2	2							25
WRIT 2	Rhetoric & Inquiry	Taylor Joy Kirsch	2023 Fall Quarter	2238	N		14		8	1								1						1		25
WRIT 2	Rhetoric & Inquiry	Madeline M Lane	2023 Fall Quarter	2238	N		15	6	2										2							25
WRIT 2	Rhetoric & Inquiry	Joseph Mark Navarro	2023 Fall Quarter	2238	N		1	6		1	1	1	1	1				3	2	2				1		20
WRIT 2	Rhetoric & Inquiry	Joseph Mark Navarro	2023 Fall Quarter	2238	N		3	1	2	1			1	2				4	4	1				2		21
WRIT 2	Rhetoric & Inquiry	Erica Louise Halk	2023 Fall Quarter	2238	N	6	13	1	3	1			1													25
WRIT 2	Rhetoric & Inquiry	Tanner WouldGo	2023 Fall Quarter	2238	N		18			3				1					1	1						24
WRIT 2	Rhetoric & Inquiry	Derede L Arthur	2023 Fall Quarter	2238	N	1	11	5		1		2		1						2						23
WRIT 2	Rhetoric & Inquiry	James Jackson	2023 Fall Quarter	2238	N	2	9	4	5	3								2								25
WRIT 2	Rhetoric & Inquiry	Alexandra Marie McCourt	2023 Fall Quarter	2238	N	3	7	8	2		2		2						1							25
WRIT 2	Rhetoric & Inquiry	Christopher K Garrecht-Williams	2023 Fall Quarter	2238	N		12	4	2	2	2	1	1	1												25
WRIT 2	Rhetoric & Inquiry	Mark Baker	2023 Fall Quarter	2238	N	3	5		7	3	1	1				1			3	1						25
WRIT 2	Rhetoric & Inquiry	Bettina Osborne	2023 Fall Quarter	2238	N	1	12	2	2	1	1	1	1					1	1	1				1		25
