COWL 11A	ELP:Leadership Tools	Miranda Allen-Brower	2020 Summer Quarter	2204	N	2	12	1	1				1						1	1						19
COWL 52	Personal Finance	Patricia M Kelly	2020 Summer Quarter	2204	N	8	101	32	18	17	12	4	4	2				3	24	1				3		229
CRES 10	Intro to CRES	Sheeva Melodie Sabati	2020 Summer Quarter	2204	N		10	17	10	3	3	1						2	5					1		52
CRES 118	Abolitionist Futures	Claire Marie Urbanski	2020 Summer Quarter	2204	N	2	12	6	3	3				4	1	1		2	3	1				1		39
CRES 150	RaceGenderAlgorthms	micha cardenas	2020 Summer Quarter	2204	N	2	7	4	4	1								7								25
CRSN 15A	STEM Essentials	Stella Hein	2020 Summer Quarter	2204	N	1	26			1			3	1		1			4					1		38
CRSN 15A	STEM Essentials	Stella Hein	2020 Summer Quarter	2204	N		22			6			1	1				5	1	1						37
CRWN 80F	Science Fiction	Dion N Farquhar	2020 Summer Quarter	2204	N	2	27	3	1	1									14							48
CRWN 90	EntrepreneurshipAcad	Nada Miljkovic	2020 Summer Quarter	2204	N	7	6	8		1								1	2							25
CRWN 98	Podcasting	Nada Miljkovic	2020 Summer Quarter	2204	N	14	11	7		2									6	2						42
CSE 13E	Embedded Systems&C	Maxwell James Dunne	2020 Summer Quarter	2204	N	5	16	3	5	10	2	6	8			1		9		3				4		72
CSE 16	Appl Discrete Math	Patrick Tantalo	2020 Summer Quarter	2204	N	11	15	7	9	4	3	5	3		1	1		4	2	1						66
CSE 20	Beginning Python	Larissa A Munishkina	2020 Summer Quarter	2204	N	9	32	10	5	18	2	3	6			10		2	10	5				2		114
CSE 115A	Intro Software Eng	Richard K Jullig	2020 Summer Quarter	2204	N	1	31	6	3	2									2					1		46
CSE 115A	Intro Software Eng	Richard K Jullig	2020 Summer Quarter	2204	N	2	27	9	5	4																47
CSE 140	Artif Intelligence	Narges Norouzi	2020 Summer Quarter	2204	N		5	6	7	6	6	3	6		1	1		3		1				2		47
CSE 144	Applied ML	Narges Norouzi	2020 Summer Quarter	2204	N		8	8	12	9	4	1	3			2		2	2	2				1		54
EART 3	Geology Natl Parks	Myriam Telus	2020 Summer Quarter	2204	N	1	15	7	4	4	5	4	6	2	1	1			19					1		70
EART 11	Earthquakes	Susan Y. Schwartz	2020 Summer Quarter	2204	N	7	6	2	1	3	1	3	5	2				2	18	4				8		62
ECE 9	Statics & Materials	Maxwell James Dunne	2020 Summer Quarter	2204	N	4	11	6	4	7	2		2			1										37
ECE 101	Intro Elec Circuits	Austin Chen	2020 Summer Quarter	2204	N		3		2	4	7	3	13	3		7		2						1		45
ECE 101L	Intr Elec Circ Lab	Austin Chen	2020 Summer Quarter	2204	N		24	3	2	4	3		1	5		4										46
ECE 103	Signals & Systems	Jorge S Hurtarte	2020 Summer Quarter	2204	N	3	17	3	3																	26
ECE 103L	Signals Systems Lab	Jorge S Hurtarte	2020 Summer Quarter	2204	N	4	10	4	4	1		3	1													27
ECE 151	Communicats Systms	Hamid R Sadjadpour	2020 Summer Quarter	2204	N			1	2	4	1	2						2						1		13
ECE 171	Analog Electronics	Stephen C Petersen	2020 Summer Quarter	2204	N			3	3	6	1	3	13					9		3				4		45
ECE 171L	Analog Electron Lab	Stephen C Petersen	2020 Summer Quarter	2204	N		3	2	1	10	3	1	5					7		2				3		37
ECON 1	Intro Microeconomic	Julie H Gonzalez	2020 Summer Quarter	2204	N		3	6	5	5	6	5	12			2		2	2					3		51
ECON 2	Intro Macroeconomic	Dongwan Choo	2020 Summer Quarter	2204	N	9	33	25	9	5	2	6	1		2	1		3	2	1				2		101
ECON 10A	Econ of Accounting	Kevin K Jones	2020 Summer Quarter	2204	N		41	9	8	29	4	7	13		2	2		3	5	5				5		133
ECON 10B	Econ of Accounting	Kevin K Jones	2020 Summer Quarter	2204	N		19	6	2	11	2	5	9		3	3		3	4					1		68
ECON 100A	Intermed Microecon	Subhra Saha	2020 Summer Quarter	2204	N	1	18	16	12	9	16	5	9	2	1	1	1	1	4	1						97
ECON 100A	Intermed Microecon	Kristian M Lopezvargas	2020 Summer Quarter	2204	N	2	6	11	6	5	11	3	2					1	2							49
ECON 100B	Intermed Macroecon	Gerald M McIntyre	2020 Summer Quarter	2204	N	17	27	14	5	3	5	1	16					2	3	1				2		96
ECON 101	Managerial Econ	Jia-Yuh Chen	2020 Summer Quarter	2204	N	17	18	7	3	3	1		1			2			2	1				1		56
ECON 104	Numbr Truth: Statis	Luka Kocic	2020 Summer Quarter	2204	N	5	3	4	3	2	4	1	1					2	4					1		30
ECON 113	Intro Econometrics	Prateek Arora	2020 Summer Quarter	2204	N	23	12	6	4	4	5	1	2			1		4	2	1						65
ECON 113	Intro Econometrics	Aaron Gregory Meininger	2020 Summer Quarter	2204	N		1	5	7	10	4	15	11			5		2	2	1				9		72
ECON 125	Econ History Of US	Aaron Gregory Meininger	2020 Summer Quarter	2204	N	1		2		8	4	22	13	1		4		1	6	2						64
ECON 133	Security Markets	Kai Pommerenke	2020 Summer Quarter	2204	N	9	22	17	13	12	6	6	2	3		2		3	9	4				3		111
ECON 136	Business Strategy	Gerald M McIntyre	2020 Summer Quarter	2204	N	2	11	4	4	4		3	1					1	5							35
ECON 161A	Marketing	Stephen Arthur Owen	2020 Summer Quarter	2204	N		15	16	5	9	5	4	5						5	1						65
ECON 197	Economic Rhetoric	Julie H Gonzalez	2020 Summer Quarter	2204	N	1	2	4	5	6	1	2	4						6	1						32
ECON 197	Economic Rhetoric	David Bryan	2020 Summer Quarter	2204	N		1	1	5	13	7		1						6							34
EDUC 128	Immigrants And Educ	Jolene Castillo Gregory	2020 Summer Quarter	2204	N	5	14	6	4	2	2	3	2			1		2	1	1				1		44
EDUC 135	Gender & Education	Andrea del Carmen Vazquez	2020 Summer Quarter	2204	N		32	6	2	7																47
EDUC 164	Urban Education	Kim Vachon	2020 Summer Quarter	2204	N	6	23	5	3	4	1	2	1					3	3	1						52
EDUC 181	Race, Class, Cultur	Melissa Marini Švigelj	2020 Summer Quarter	2204	N	11	27	11	1	2	1		1					2						1		57
EDUC 205	Teaching,Learning	Johnnie Brooks Wilson	2020 Summer Quarter	2204	N		5														20					25
EDUC 205	Teaching,Learning	Johnnie Brooks Wilson	2020 Summer Quarter	2204	N		6														30					36
EDUC 207	Soc Fndtn Education	Sheeva Melodie Sabati	2020 Summer Quarter	2204	N		10														51					61
EDUC 208	Portfolio Developmt	Jamie Dewitt	2020 Summer Quarter	2204	N		12	4		2											48					66
EDUC 210	Health/Safety/Commun	Jamie Dewitt	2020 Summer Quarter	2204	N		11														50					61
EDUC 213	Child & Adol Dev	Johnnie Brooks Wilson	2020 Summer Quarter	2204	N		11														50					61
EDUC 217	Topics Elem Ed PE	Caitlin Mary Johnston	2020 Summer Quarter	2204	N		4														32					36
EDUC 218	Elem Ed Vis Arts	Susan Trimingham	2020 Summer Quarter	2204	N	4															32					36
EDUC 219	Elem Ed Prfrm Arts	Caitlin Mary Johnston	2020 Summer Quarter	2204	N		4														32					36
EDUC 225	Reading Across Curr	Heather Elaine Schlaman	2020 Summer Quarter	2204	N		11	2	1												16					30
ENVS 18	NatHist Illustration	Emily F Underwood	2020 Summer Quarter	2204	N	1	11	1		1	1		1													16
ENVS 18	NatHist Illustration	Emily F Underwood	2020 Summer Quarter	2204	N		10	2	1	1								2						1		17
